Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
TL,0.18972,0.22807,-0.10291,0,0,0,0.0058014,9.4543E-07,-1.5947E-07,-8.0946E-07,1.7237E-06,-1.5122E-07,1.0315E-06,0,0,0,0,0,0,package://origaker/meshes/TL.STL,1,1,1,1,0,0,0,0,0,0,package://origaker/meshes/TL.STL,,杆2-1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,,,,,,
TLS,0.067745564487764,1.49817103167749E-10,0.00233427325236665,0,0,0,0.0166796827522758,4.12115172126099E-07,-4.27859119620462E-20,-1.4070276045078E-18,2.57285843273886E-05,-8.0434761122683E-15,2.56032603272305E-05,0,0,0,0,0,0,package://origaker/meshes/TLS.STL,0.501960784313725,0.501960784313725,1,1,0,0,0,0,0,0,package://origaker/meshes/TLS.STL,,杆1-2-2;杆3-1-2,Origin_JOINT_TL_TLS,Axis2,JOINT_TL_TLS,revolute,0.170965003508001,0.120697375520416,0.226439404750094,1.5707963267949,0,-2.3296364928605,TL,0,0.999999999999998,0,0,0,0,0,,,,,,,,
TL1,0.0235433172265419,0,-2.77555756156289E-17,0,0,0,0.00498718526001398,9.40726437561715E-08,-8.63576559505361E-22,1.42391643894226E-21,1.28188025269946E-06,6.3001902878933E-24,1.2870565174701E-06,0,0,0,0,0,0,package://origaker/meshes/TL1.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://origaker/meshes/TL1.STL,,杆3-2-2,Origin_JOINT_TLS_TL1,Axis3,JOINT_TLS_TL1,revolute,0.0499999999999999,0,0.0250000000000021,3.14159176619258,-1.57079626357462,1.5707972133272,TLS,0,0,1,0,0,0,0,,,,,,,,
TL2,0.0274745365601647,-2.77555756156289E-17,-2.77555756156289E-17,0,0,0,0.00577218526001398,1.07155977089504E-07,1.29040175558272E-22,1.59523094682866E-21,1.89986326345428E-06,2.69958236077345E-23,1.88891037403168E-06,0,0,0,0,0,0,package://origaker/meshes/TL2.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://origaker/meshes/TL2.STL,,杆3-3-2,Origin_JOINT_TL1_TL2,Axis4,JOINT_TL1_TL2,revolute,0.046,0,0,0,0,0,TL1,0,1,0,0,0,0,0,,,,,,,,
TL3,0.0510165908706006,0,-2.77555756156289E-17,0,0,0,0.0103544030406319,1.59183795846119E-07,-3.32195734001296E-21,1.03077352542155E-20,1.03457449971474E-05,-1.17650160046584E-22,1.03376804200508E-05,0,0,0,0,0,0,package://origaker/meshes/TL3.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://origaker/meshes/TL3.STL,,杆3-4-2,Origin_JOINT_TL2_TL3,Axis5,JOINT_TL2_TL3,revolute,0.05385,0,0,0,0,0,TL2,0,1,0,0,0,0,0,,,,,,,,
BLS,0.0732432649567947,-2.77555756156289E-17,0.00233427325236343,0,0,0,0.0166796827522758,4.12115172126101E-07,1.03512811405899E-20,-6.73655890863186E-21,2.57285843273886E-05,1.57091312041462E-22,2.56032603272305E-05,0,0,0,0,0,0,package://origaker/meshes/BLS.STL,1,1,0,1,0,0,0,0,0,0,package://origaker/meshes/BLS.STL,,杆1-1-2;杆3-1-1,Origin_JOINT_TLS_BLS,Axis9,JOINT_TLS_BLS,revolute,0.14,0,0,0,0,0,TLS,0,1,0,0,0,0,0,,,,,,,,
BL1,0.0235433172265419,0,0,0,0,0,0.00498718526001398,9.40726437561715E-08,2.31610571514848E-23,1.19554295381325E-21,1.28188025269946E-06,4.58551244242968E-23,1.2870565174701E-06,0,0,0,0,0,0,package://origaker/meshes/BL1.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://origaker/meshes/BL1.STL,,杆3-2-1,Origin_JOINT_BLS_BL1,Axis6,JOINT_BLS_BL1,revolute,0.0899999999999997,0,0.025,2.53265241728924,-1.57079630572147,2.34419251046543,BLS,0,0,1,0,0,0,0,,,,,,,,
BL2,0.0274745365601647,1.38777878078145E-17,0,0,0,0,0.00577218526001398,1.07155977089505E-07,4.73147310380332E-22,1.7399253359742E-21,1.89986326345428E-06,-4.04278592151285E-23,1.88891037403168E-06,0,0,0,0,0,0,package://origaker/meshes/BL2.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://origaker/meshes/BL2.STL,,杆3-3-1,Origin_JOINT_BL1_BL2,Axis7,JOINT_BL1_BL2,revolute,0.046,0,0,0,0,0,BL1,0,1,0,0,0,0,0,,,,,,,,
BL3,0.0510165908706006,1.38777878078145E-17,-5.55111512312578E-17,0,0,0,0.0103544030406319,1.59183795846119E-07,-8.53650392154725E-22,1.02529619065853E-20,1.03457449971474E-05,9.92140136859135E-23,1.03376804200508E-05,0,0,0,0,0,0,package://origaker/meshes/BL3.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://origaker/meshes/BL3.STL,,杆3-4-1,Origin_JOINT_BL2_BL3,Axis8,JOINT_BL2_BL3,revolute,0.05385,0,0,0,0,0,BL2,0,1,0,0,0,0,0,,,,,,,,
BL,0.0268603802763197,0.00183582223214612,2.77555756156289E-17,0,0,0,0.00580139882238708,1.85558975155226E-07,-2.37409709785417E-07,-2.2962533804472E-21,1.71291053492831E-06,-3.4410713482206E-22,1.78565037551717E-06,0,0,0,0,0,0,package://origaker/meshes/BL.STL,1,1,1,1,0,0,0,0,0,0,package://origaker/meshes/BL.STL,,杆2-4-1,Origin_JOINT_BLS_BL,Axis10,JOINT_BLS_BL,revolute,0.14,0,0,1.57079640031221,1.57079626015488,1.57079639685257,BLS,0,0.999999999999998,0,0,0,0,0,,,,,,,,
